path_index	ID	pa_Symbol	is_disease
95	path:hsa01524	Platinum drug resistance - Homo sapiens (human)	0
96	path:hsa02010	ABC transporters - Homo sapiens (human)	0
97	path:hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	0
98	path:hsa03010	Ribosome - Homo sapiens (human)	0
99	path:hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)	0
100	path:hsa03015	mRNA surveillance pathway - Homo sapiens (human)	0
101	path:hsa03018	RNA degradation - Homo sapiens (human)	0
102	path:hsa03020	RNA polymerase - Homo sapiens (human)	0
103	path:hsa03022	Basal transcription factors - Homo sapiens (human)	0
104	path:hsa03030	DNA replication - Homo sapiens (human)	0
105	path:hsa03040	Spliceosome - Homo sapiens (human)	0
106	path:hsa03050	Proteasome - Homo sapiens (human)	0
107	path:hsa03060	Protein export - Homo sapiens (human)	0
108	path:hsa03320	PPAR signaling pathway - Homo sapiens (human)	0
109	path:hsa03410	Base excision repair - Homo sapiens (human)	0
110	path:hsa03420	Nucleotide excision repair - Homo sapiens (human)	0
111	path:hsa03430	Mismatch repair - Homo sapiens (human)	0
112	path:hsa03440	Homologous recombination - Homo sapiens (human)	0
113	path:hsa03450	Non-homologous end-joining - Homo sapiens (human)	0
114	path:hsa03460	Fanconi anemia pathway - Homo sapiens (human)	0
115	path:hsa04010	MAPK signaling pathway - Homo sapiens (human)	0
116	path:hsa04012	ErbB signaling pathway - Homo sapiens (human)	0
117	path:hsa04014	Ras signaling pathway - Homo sapiens (human)	0
118	path:hsa04015	Rap1 signaling pathway - Homo sapiens (human)	0
119	path:hsa04020	Calcium signaling pathway - Homo sapiens (human)	0
120	path:hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	0
121	path:hsa04024	cAMP signaling pathway - Homo sapiens (human)	0
122	path:hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	0
123	path:hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	0
124	path:hsa04062	Chemokine signaling pathway - Homo sapiens (human)	0
125	path:hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	0
126	path:hsa04066	HIF-1 signaling pathway - Homo sapiens (human)	0
127	path:hsa04068	FoxO signaling pathway - Homo sapiens (human)	0
128	path:hsa04070	Phosphatidylinositol signaling system - Homo sapiens (human)	0
129	path:hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)	0
130	path:hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	0
131	path:hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	0
132	path:hsa04110	Cell cycle - Homo sapiens (human)	0
133	path:hsa04114	Oocyte meiosis - Homo sapiens (human)	0
134	path:hsa04115	p53 signaling pathway - Homo sapiens (human)	0
135	path:hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)	0
136	path:hsa04122	Sulfur relay system - Homo sapiens (human)	0
137	path:hsa04130	SNARE interactions in vesicular transport - Homo sapiens (human)	0
138	path:hsa04136	Autophagy - other - Homo sapiens (human)	0
139	path:hsa04137	Mitophagy - animal - Homo sapiens (human)	0
140	path:hsa04140	Autophagy - animal - Homo sapiens (human)	0
141	path:hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)	0
142	path:hsa04142	Lysosome - Homo sapiens (human)	0
143	path:hsa04144	Endocytosis - Homo sapiens (human)	0
144	path:hsa04145	Phagosome - Homo sapiens (human)	0
145	path:hsa04146	Peroxisome - Homo sapiens (human)	0
146	path:hsa04150	mTOR signaling pathway - Homo sapiens (human)	0
147	path:hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	0
148	path:hsa04152	AMPK signaling pathway - Homo sapiens (human)	0
149	path:hsa04210	Apoptosis - Homo sapiens (human)	0
150	path:hsa04211	Longevity regulating pathway - Homo sapiens (human)	0
151	path:hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)	0
152	path:hsa04215	Apoptosis - multiple species - Homo sapiens (human)	0
153	path:hsa04216	Ferroptosis - Homo sapiens (human)	0
154	path:hsa04217	Necroptosis - Homo sapiens (human)	0
155	path:hsa04218	Cellular senescence - Homo sapiens (human)	0
156	path:hsa04260	Cardiac muscle contraction - Homo sapiens (human)	0
157	path:hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	0
158	path:hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	0
159	path:hsa04310	Wnt signaling pathway - Homo sapiens (human)	0
160	path:hsa04330	Notch signaling pathway - Homo sapiens (human)	0
161	path:hsa04340	Hedgehog signaling pathway - Homo sapiens (human)	0
162	path:hsa04350	TGF-beta signaling pathway - Homo sapiens (human)	0
163	path:hsa04360	Axon guidance - Homo sapiens (human)	0
164	path:hsa04370	VEGF signaling pathway - Homo sapiens (human)	0
165	path:hsa04371	Apelin signaling pathway - Homo sapiens (human)	0
166	path:hsa04380	Osteoclast differentiation - Homo sapiens (human)	0
167	path:hsa04390	Hippo signaling pathway - Homo sapiens (human)	0
168	path:hsa04392	Hippo signaling pathway - multiple species - Homo sapiens (human)	0
169	path:hsa04510	Focal adhesion - Homo sapiens (human)	0
170	path:hsa04512	ECM-receptor interaction - Homo sapiens (human)	0
171	path:hsa04514	Cell adhesion molecules - Homo sapiens (human)	0
172	path:hsa04520	Adherens junction - Homo sapiens (human)	0
173	path:hsa04530	Tight junction - Homo sapiens (human)	0
174	path:hsa04540	Gap junction - Homo sapiens (human)	0
175	path:hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	0
176	path:hsa04610	Complement and coagulation cascades - Homo sapiens (human)	0
177	path:hsa04611	Platelet activation - Homo sapiens (human)	0
178	path:hsa04612	Antigen processing and presentation - Homo sapiens (human)	0
179	path:hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	0
180	path:hsa04614	Renin-angiotensin system - Homo sapiens (human)	0
181	path:hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	0
182	path:hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	0
183	path:hsa04622	RIG-I-like receptor signaling pathway - Homo sapiens (human)	0
184	path:hsa04623	Cytosolic DNA-sensing pathway - Homo sapiens (human)	0
185	path:hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)	0
186	path:hsa04630	JAK-STAT signaling pathway - Homo sapiens (human)	0
187	path:hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	0
188	path:hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	0
189	path:hsa04657	IL-17 signaling pathway - Homo sapiens (human)	0
190	path:hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)	0
191	path:hsa04659	Th17 cell differentiation - Homo sapiens (human)	0
192	path:hsa04660	T cell receptor signaling pathway - Homo sapiens (human)	0
193	path:hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	0
194	path:hsa04664	Fc epsilon RI signaling pathway - Homo sapiens (human)	0
195	path:hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	0
196	path:hsa04668	TNF signaling pathway - Homo sapiens (human)	0
197	path:hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	0
198	path:hsa04672	Intestinal immune network for IgA production - Homo sapiens (human)	0
199	path:hsa04710	Circadian rhythm - Homo sapiens (human)	0
200	path:hsa04713	Circadian entrainment - Homo sapiens (human)	0
201	path:hsa04714	Thermogenesis - Homo sapiens (human)	0
202	path:hsa04720	Long-term potentiation - Homo sapiens (human)	0
203	path:hsa04721	Synaptic vesicle cycle - Homo sapiens (human)	0
204	path:hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)	0
205	path:hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)	0
206	path:hsa04724	Glutamatergic synapse - Homo sapiens (human)	0
207	path:hsa04725	Cholinergic synapse - Homo sapiens (human)	0
208	path:hsa04726	Serotonergic synapse - Homo sapiens (human)	0
209	path:hsa04727	GABAergic synapse - Homo sapiens (human)	0
210	path:hsa04728	Dopaminergic synapse - Homo sapiens (human)	0
211	path:hsa04730	Long-term depression - Homo sapiens (human)	0
212	path:hsa04740	Olfactory transduction - Homo sapiens (human)	0
213	path:hsa04742	Taste transduction - Homo sapiens (human)	0
214	path:hsa04744	Phototransduction - Homo sapiens (human)	0
215	path:hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	0
216	path:hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)	0
217	path:hsa04910	Insulin signaling pathway - Homo sapiens (human)	0
218	path:hsa04911	Insulin secretion - Homo sapiens (human)	0
219	path:hsa04912	GnRH signaling pathway - Homo sapiens (human)	0
220	path:hsa04913	Ovarian steroidogenesis - Homo sapiens (human)	0
221	path:hsa04914	Progesterone-mediated oocyte maturation - Homo sapiens (human)	0
222	path:hsa04915	Estrogen signaling pathway - Homo sapiens (human)	0
223	path:hsa04916	Melanogenesis - Homo sapiens (human)	0
224	path:hsa04917	Prolactin signaling pathway - Homo sapiens (human)	0
225	path:hsa04918	Thyroid hormone synthesis - Homo sapiens (human)	0
226	path:hsa04919	Thyroid hormone signaling pathway - Homo sapiens (human)	0
227	path:hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)	0
228	path:hsa04921	Oxytocin signaling pathway - Homo sapiens (human)	0
229	path:hsa04922	Glucagon signaling pathway - Homo sapiens (human)	0
230	path:hsa04923	Regulation of lipolysis in adipocytes - Homo sapiens (human)	0
231	path:hsa04924	Renin secretion - Homo sapiens (human)	0
232	path:hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)	0
233	path:hsa04926	Relaxin signaling pathway - Homo sapiens (human)	0
234	path:hsa04927	Cortisol synthesis and secretion - Homo sapiens (human)	0
235	path:hsa04928	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	0
236	path:hsa04929	GnRH secretion - Homo sapiens (human)	0
237	path:hsa04930	Type II diabetes mellitus - Homo sapiens (human)	1
238	path:hsa04931	Insulin resistance - Homo sapiens (human)	1
239	path:hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)	1
240	path:hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	1
241	path:hsa04934	Cushing syndrome - Homo sapiens (human)	1
242	path:hsa04935	Growth hormone synthesis, secretion and action - Homo sapiens (human)	0
243	path:hsa04936	Alcoholic liver disease - Homo sapiens (human)	1
244	path:hsa04940	Type I diabetes mellitus - Homo sapiens (human)	1
245	path:hsa04950	Maturity onset diabetes of the young - Homo sapiens (human)	1
246	path:hsa04960	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	0
247	path:hsa04961	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)	0
248	path:hsa04962	Vasopressin-regulated water reabsorption - Homo sapiens (human)	0
249	path:hsa04964	Proximal tubule bicarbonate reclamation - Homo sapiens (human)	0
250	path:hsa04966	Collecting duct acid secretion - Homo sapiens (human)	0
251	path:hsa04970	Salivary secretion - Homo sapiens (human)	0
252	path:hsa04971	Gastric acid secretion - Homo sapiens (human)	0
253	path:hsa04972	Pancreatic secretion - Homo sapiens (human)	0
254	path:hsa04973	Carbohydrate digestion and absorption - Homo sapiens (human)	0
255	path:hsa04974	Protein digestion and absorption - Homo sapiens (human)	0
256	path:hsa04975	Fat digestion and absorption - Homo sapiens (human)	0
257	path:hsa04976	Bile secretion - Homo sapiens (human)	0
258	path:hsa04977	Vitamin digestion and absorption - Homo sapiens (human)	0
259	path:hsa04978	Mineral absorption - Homo sapiens (human)	0
260	path:hsa04979	Cholesterol metabolism - Homo sapiens (human)	0
261	path:hsa05010	Alzheimer disease - Homo sapiens (human)	1
262	path:hsa05012	Parkinson disease - Homo sapiens (human)	1
263	path:hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)	1
264	path:hsa05016	Huntington disease - Homo sapiens (human)	1
265	path:hsa05017	Spinocerebellar ataxia - Homo sapiens (human)	1
266	path:hsa05020	Prion disease - Homo sapiens (human)	1
267	path:hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	1
268	path:hsa05030	Cocaine addiction - Homo sapiens (human)	1
269	path:hsa05031	Amphetamine addiction - Homo sapiens (human)	1
270	path:hsa05032	Morphine addiction - Homo sapiens (human)	1
271	path:hsa05033	Nicotine addiction - Homo sapiens (human)	1
272	path:hsa05034	Alcoholism - Homo sapiens (human)	1
273	path:hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)	1
274	path:hsa05110	Vibrio cholerae infection - Homo sapiens (human)	1
275	path:hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)	1
276	path:hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)	1
277	path:hsa05131	Shigellosis - Homo sapiens (human)	1
278	path:hsa05132	Salmonella infection - Homo sapiens (human)	1
279	path:hsa05133	Pertussis - Homo sapiens (human)	1
280	path:hsa05134	Legionellosis - Homo sapiens (human)	1
281	path:hsa05135	Yersinia infection - Homo sapiens (human)	1
282	path:hsa05140	Leishmaniasis - Homo sapiens (human)	1
283	path:hsa05142	Chagas disease - Homo sapiens (human)	1
284	path:hsa05143	African trypanosomiasis - Homo sapiens (human)	1
285	path:hsa05144	Malaria - Homo sapiens (human)	1
286	path:hsa05145	Toxoplasmosis - Homo sapiens (human)	1
287	path:hsa05146	Amoebiasis - Homo sapiens (human)	1
288	path:hsa05150	Staphylococcus aureus infection - Homo sapiens (human)	1
289	path:hsa05152	Tuberculosis - Homo sapiens (human)	1
290	path:hsa05160	Hepatitis C - Homo sapiens (human)	1
291	path:hsa05161	Hepatitis B - Homo sapiens (human)	1
292	path:hsa05162	Measles - Homo sapiens (human)	1
293	path:hsa05163	Human cytomegalovirus infection - Homo sapiens (human)	1
294	path:hsa05164	Influenza A - Homo sapiens (human)	1
295	path:hsa05165	Human papillomavirus infection - Homo sapiens (human)	1
296	path:hsa05166	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	1
297	path:hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	1
298	path:hsa05168	Herpes simplex virus 1 infection - Homo sapiens (human)	1
299	path:hsa05169	Epstein-Barr virus infection - Homo sapiens (human)	1
300	path:hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)	1
301	path:hsa05171	Coronavirus disease - COVID-19 - Homo sapiens (human)	1
302	path:hsa05200	Pathways in cancer - Homo sapiens (human)	1
303	path:hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)	1
304	path:hsa05203	Viral carcinogenesis - Homo sapiens (human)	1
305	path:hsa05204	Chemical carcinogenesis - DNA adducts - Homo sapiens (human)	1
306	path:hsa05205	Proteoglycans in cancer - Homo sapiens (human)	1
307	path:hsa05206	MicroRNAs in cancer - Homo sapiens (human)	1
308	path:hsa05207	Chemical carcinogenesis - receptor activation - Homo sapiens (human)	1
309	path:hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	1
310	path:hsa05210	Colorectal cancer - Homo sapiens (human)	1
311	path:hsa05211	Renal cell carcinoma - Homo sapiens (human)	1
312	path:hsa05212	Pancreatic cancer - Homo sapiens (human)	1
313	path:hsa05213	Endometrial cancer - Homo sapiens (human)	1
314	path:hsa05214	Glioma - Homo sapiens (human)	1
315	path:hsa05215	Prostate cancer - Homo sapiens (human)	1
316	path:hsa05216	Thyroid cancer - Homo sapiens (human)	1
317	path:hsa05217	Basal cell carcinoma - Homo sapiens (human)	1
318	path:hsa05218	Melanoma - Homo sapiens (human)	1
319	path:hsa05219	Bladder cancer - Homo sapiens (human)	1
320	path:hsa05220	Chronic myeloid leukemia - Homo sapiens (human)	1
321	path:hsa05221	Acute myeloid leukemia - Homo sapiens (human)	1
322	path:hsa05222	Small cell lung cancer - Homo sapiens (human)	1
323	path:hsa05223	Non-small cell lung cancer - Homo sapiens (human)	1
324	path:hsa05224	Breast cancer - Homo sapiens (human)	1
325	path:hsa05225	Hepatocellular carcinoma - Homo sapiens (human)	1
326	path:hsa05226	Gastric cancer - Homo sapiens (human)	1
327	path:hsa05230	Central carbon metabolism in cancer - Homo sapiens (human)	1
328	path:hsa05231	Choline metabolism in cancer - Homo sapiens (human)	1
329	path:hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)	1
330	path:hsa05310	Asthma - Homo sapiens (human)	1
331	path:hsa05320	Autoimmune thyroid disease - Homo sapiens (human)	1
332	path:hsa05321	Inflammatory bowel disease - Homo sapiens (human)	1
333	path:hsa05322	Systemic lupus erythematosus - Homo sapiens (human)	1
334	path:hsa05323	Rheumatoid arthritis - Homo sapiens (human)	1
335	path:hsa05330	Allograft rejection - Homo sapiens (human)	1
336	path:hsa05332	Graft-versus-host disease - Homo sapiens (human)	1
337	path:hsa05340	Primary immunodeficiency - Homo sapiens (human)	1
338	path:hsa05410	Hypertrophic cardiomyopathy - Homo sapiens (human)	1
339	path:hsa05412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)	1
340	path:hsa05414	Dilated cardiomyopathy - Homo sapiens (human)	1
341	path:hsa05415	Diabetic cardiomyopathy - Homo sapiens (human)	1
342	path:hsa05416	Viral myocarditis - Homo sapiens (human)	1
343	path:hsa05417	Lipid and atherosclerosis - Homo sapiens (human)	1
344	path:hsa05418	Fluid shear stress and atherosclerosis - Homo sapiens (human)	1
